Date,Price,Open,High,Low,Vol.,Change %,return
15-May-17,332,335.6,335.6,331.8,97.17K,-1.19%,-0.011904762
16-May-17,330.1,332,333.9,329.8,118.39K,-0.57%,-0.005722892
17-May-17,332.1,328,336,328,138.80K,0.61%,0.00605877
18-May-17,331.7,330.2,335,329,88.54K,-0.12%,-0.001204456
21-May-17,331.2,334.9,335,330.3,50.17K,-0.15%,-0.001507386
22-May-17,331.9,331.2,334,331,60.98K,0.21%,0.002113527
23-May-17,331.7,331.1,332,330.6,94.11K,-0.06%,-0.000602591
24-May-17,331.7,331.1,333,331,45.73K,0.00%,0
25-May-17,333.5,331.1,335,331.1,39.64K,0.54%,0.00542659
28-May-17,331.8,334,334,331.6,21.34K,-0.51%,-0.005097451
29-May-17,331.7,331.7,332.4,331.2,148.53K,-0.03%,-0.000301386
30-May-17,329.1,331.5,331.5,328.1,91.02K,-0.78%,-0.007838408
31-May-17,328.7,329.2,331,325.2,390.72K,-0.12%,-0.001215436
1-Jun-17,334.3,329.2,334.6,329.2,79.34K,1.70%,0.017036812
4-Jun-17,336.4,333.5,337,333.1,183.05K,0.63%,0.006281783
5-Jun-17,336.2,336,337.8,335,176.06K,-0.06%,-0.00059453
6-Jun-17,336.5,337.1,337.7,335,67.34K,0.09%,0.000892326
7-Jun-17,336.6,337.9,337.9,335,67.20K,0.03%,0.000297177
8-Jun-17,333.9,335.9,336,332.8,272.87K,-0.80%,-0.00802139
11-Jun-17,331.1,333.3,333.3,330.2,177.33K,-0.84%,-0.008385744
12-Jun-17,331.1,330.9,331.9,330.7,191.50K,0.00%,0
13-Jun-17,331.6,331.1,335.6,330.6,51.79K,0.15%,0.001510118
14-Jun-17,331.8,331.5,333,331.4,98.29K,0.06%,0.000603136
15-Jun-17,332.2,333,335,331.2,252.59K,0.12%,0.001205546
18-Jun-17,332.1,331.1,332.9,331.1,101.29K,-0.03%,-0.000301023
19-Jun-17,332.6,340,340,331.1,55.38K,0.15%,0.001505571
20-Jun-17,334.9,332.1,335,332.1,275.34K,0.69%,0.006915213
21-Jun-17,338.2,335.8,338.5,335.2,291.58K,0.99%,0.009853688
22-Jun-17,339.9,338.8,341,338.8,342.34K,0.50%,0.005026611
28-Jun-17,341.4,340,342.4,338.1,208.41K,0.44%,0.004413063
29-Jun-17,344.4,341,344.6,341,528.97K,0.88%,0.008787346
2-Jul-17,344.5,344.3,346.5,344,98.28K,0.03%,0.00029036
3-Jul-17,352.1,344.5,353.2,344.5,608.38K,2.21%,0.022060958
4-Jul-17,355.6,351.1,356.7,351.1,525.10K,0.99%,0.009940358
5-Jul-17,355.4,355,356.4,354,269.81K,-0.06%,-0.00056243
6-Jul-17,340.2,355.4,355.4,340,1.04M,-4.28%,-0.042768711
9-Jul-17,337.4,340.5,344.8,335,504.15K,-0.82%,-0.008230453
10-Jul-17,348.1,340,349,340,356.74K,3.17%,0.0317131
11-Jul-17,348.4,348.3,350.5,346.9,275.35K,0.09%,0.000861821
12-Jul-17,347.9,348.5,350.9,346.1,457.40K,-0.14%,-0.001435132
13-Jul-17,365.1,354.8,367,350,1.82M,4.94%,0.049439494
16-Jul-17,370.8,365.1,375,365.1,597.94K,1.56%,0.015612161
17-Jul-17,369.2,370.9,374,368.1,383.12K,-0.43%,-0.004314995
18-Jul-17,365.1,370.9,370.9,364.3,220.29K,-1.11%,-0.011105092
19-Jul-17,369.8,365.1,371.5,364,550.63K,1.29%,0.012873185
20-Jul-17,366.4,370,371.4,364.7,354.18K,-0.92%,-0.009194159
23-Jul-17,366.9,367.9,368.7,366.6,129.70K,0.14%,0.001364629
24-Jul-17,368.1,367,369,366.7,269.83K,0.33%,0.003270646
25-Jul-17,370.5,369,371.5,369,221.65K,0.65%,0.006519967
26-Jul-17,374.9,371,376.9,370,607.98K,1.19%,0.011875843
27-Jul-17,379.1,375.5,382,375,713.22K,1.12%,0.011202987
30-Jul-17,377.4,376.7,380.2,376.6,229.61K,-0.45%,-0.004484305
31-Jul-17,379.5,376.2,381,376.2,305.86K,0.56%,0.005564388
1-Aug-17,379.3,379.7,381.7,378.6,550.59K,-0.05%,-0.000527009
3-Aug-17,374.8,370,376.5,370,535.88K,-1.19%,-0.01186396
6-Aug-17,377.5,373.2,378,373.2,161.06K,0.72%,0.007203842
7-Aug-17,376.2,379.4,379.9,374.5,297.43K,-0.34%,-0.003443709
8-Aug-17,376.2,377,379.9,375.1,132.54K,0.00%,0
9-Aug-17,376.5,376.5,376.9,376,228.48K,0.08%,0.000797448
10-Aug-17,380.1,376.2,381,376.2,508.97K,0.96%,0.009561753
13-Aug-17,380.8,381.6,381.7,380.2,176.52K,0.18%,0.001841621
16-Aug-17,387.2,382,389.4,382,541.45K,1.68%,0.016806723
17-Aug-17,392,388,394.8,388,393.45K,1.24%,0.012396694
20-Aug-17,391.5,391.6,393,386.5,122.40K,-0.13%,-0.00127551
21-Aug-17,391.9,391.5,392,388.7,181.69K,0.10%,0.001021711
22-Aug-17,391.3,391.1,394,390.4,206.76K,-0.15%,-0.001531003
23-Aug-17,387.4,390.5,392.1,386.1,227.12K,-1.00%,-0.009966777
24-Aug-17,387,388.4,389,386.1,233.08K,-0.10%,-0.001032525
27-Aug-17,387.7,390,390,386.2,118.22K,0.18%,0.001808786
28-Aug-17,388.9,387.1,390,386.2,180.34K,0.31%,0.003095177
29-Aug-17,390.9,388.9,393.8,388.9,166.77K,0.51%,0.00514271
30-Aug-17,391.1,390.5,391.9,390,175.72K,0.05%,0.00051164
31-Aug-17,389.6,391,392,388.2,246.85K,-0.38%,-0.003835336
4-Sep-17,392,392,394.4,390.5,107.35K,0.62%,0.006160164
5-Sep-17,397,395,403.8,394.5,287.00K,1.28%,0.012755102
6-Sep-17,396.9,401.7,401.8,394.8,197.12K,-0.03%,-0.000251889
7-Sep-17,406.6,396.9,407,396.9,573.12K,2.44%,0.024439405
10-Sep-17,428.4,408,435,405.2,734.39K,5.36%,0.053615347
11-Sep-17,418.9,430,432,417.2,369.81K,-2.22%,-0.022175537
12-Sep-17,411.9,420,421,410.7,528.29K,-1.67%,-0.016710432
13-Sep-17,422,415,427.9,413.2,583.33K,2.45%,0.024520515
14-Sep-17,420.6,423.1,428.6,418,373.75K,-0.33%,-0.003317536
17-Sep-17,414,418,419.3,413,300.46K,-1.57%,-0.015691869
18-Sep-17,408.4,414.5,417,406.9,333.12K,-1.35%,-0.01352657
19-Sep-17,413.1,411,417.8,407.1,274.08K,1.15%,0.011508325
20-Sep-17,413.7,412,418.6,412,124.25K,0.15%,0.001452433
21-Sep-17,411.2,413.7,414,410,101.73K,-0.60%,-0.006043026
24-Sep-17,410.4,411.2,412.6,408.3,180.27K,-0.19%,-0.001945525
25-Sep-17,412,410.4,414,409,134.46K,0.39%,0.003898635
26-Sep-17,411.2,410,413.9,410,122.11K,-0.19%,-0.001941748
27-Sep-17,416.3,411,417,411,580.47K,1.24%,0.012402724
28-Sep-17,415.3,415,418,414.5,274.97K,-0.24%,-0.002402114
2-Oct-17,410.6,412.3,415,408,215.22K,-1.13%,-0.01131712
3-Oct-17,414.8,410,417.6,409.5,337.47K,1.02%,0.010228933
4-Oct-17,416.9,415,418,414.4,126.15K,0.51%,0.005062681
5-Oct-17,419.5,416.1,423.5,416.1,126.18K,0.62%,0.006236508
8-Oct-17,417.9,420.5,421,417.3,108.38K,-0.38%,-0.003814064
9-Oct-17,422,416,423.4,416,225.36K,0.98%,0.00981096
10-Oct-17,427.5,422,428,422,306.95K,1.30%,0.013033175
11-Oct-17,432.6,429.5,437.8,424.1,390.26K,1.19%,0.011929825
12-Oct-17,429,430,433,426.2,260.71K,-0.83%,-0.008321775
15-Oct-17,428.7,429,431.8,423.4,131.82K,-0.07%,-0.000699301
16-Oct-17,426.4,428.1,431.5,425.2,159.96K,-0.54%,-0.005365057
17-Oct-17,422,426,426,421.5,163.17K,-1.03%,-0.010318949
18-Oct-17,420.1,422.1,422.9,418.5,193.87K,-0.45%,-0.00450237
19-Oct-17,424,420,426.8,419,60.36K,0.93%,0.009283504
22-Oct-17,430.1,430,434,425.1,358.64K,1.44%,0.014386792
23-Oct-17,431.2,431.9,433.8,429,422.25K,0.26%,0.002557545
24-Oct-17,439.6,431.3,442,431.3,587.34K,1.95%,0.019480519
25-Oct-17,445.7,440,450,437,262.80K,1.39%,0.013876251
26-Oct-17,445.3,447.9,453.3,443.1,327.07K,-0.09%,-0.000897465
29-Oct-17,442,445.3,447.7,438.5,207.61K,-0.74%,-0.007410734
30-Oct-17,439.7,442,444,438.3,124.18K,-0.52%,-0.00520362
