Date,Price,Open,High,Low,Vol.,Change %,return
15-Jun-17,231.56,231.16,231.81,230.83,321.76K,0.21%,0.002077203
18-Jun-17,231.64,231.56,232.21,231.32,238.39K,0.03%,0.000345483
19-Jun-17,231.73,231.56,231.97,231.4,308.74K,0.04%,0.000388534
20-Jun-17,233.19,231.97,233.68,231.73,267.02K,0.63%,0.006300436
21-Jun-17,234.65,233.68,234.89,233.43,421.33K,0.63%,0.006260989
22-Jun-17,235.38,235.14,235.63,234.81,658.89K,0.31%,0.003111016
28-Jun-17,235.71,236.44,236.44,234.81,347.03K,0.14%,0.001401988
29-Jun-17,235.71,235.63,237.01,234,937.56K,0.00%,0
2-Jul-17,232.94,236.11,236.19,232.38,277.10K,-1.18%,-0.011751729
3-Jul-17,234.98,233.92,236.28,233.19,381.71K,0.88%,0.00875762
4-Jul-17,233.84,235.63,235.63,233.51,212.09K,-0.49%,-0.004851477
5-Jul-17,233.19,234.08,235.54,232.78,443.76K,-0.28%,-0.002779678
6-Jul-17,232.7,233.51,234,232.38,560.32K,-0.21%,-0.002101291
9-Jul-17,233.68,233.51,234,232.38,166.69K,0.42%,0.004211431
10-Jul-17,232.94,233.35,235.22,232.46,646.45K,-0.32%,-0.003166724
11-Jul-17,234,233.68,234.81,232.78,425.07K,0.46%,0.004550528
12-Jul-17,233.84,234,234.41,233.51,271.19K,-0.07%,-0.000683761
13-Jul-17,232.94,233.76,235.54,232.38,510.16K,-0.38%,-0.003848785
16-Jul-17,231.81,232.94,234.33,231.4,481.65K,-0.49%,-0.004851035
17-Jul-17,231.32,232.13,233.84,230.75,466.92K,-0.21%,-0.0021138
18-Jul-17,231.81,231.97,233.11,231.56,129.01K,0.21%,0.002118278
19-Jul-17,230.26,232.21,232.21,229.37,350.79K,-0.67%,-0.006686511
20-Jul-17,230.59,232.13,232.21,230.02,168.51K,0.14%,0.001433163
23-Jul-17,230.34,230.59,232.13,230.02,191.32K,-0.11%,-0.001084175
24-Jul-17,229.69,230.43,230.43,229.29,1.01M,-0.28%,-0.002821915
25-Jul-17,229.29,229.69,231.24,228.8,453.54K,-0.17%,-0.001741478
26-Jul-17,229.13,229.13,229.86,228.96,392.99K,-0.07%,-0.000697806
27-Jul-17,229.61,229.21,230.18,229.21,246.34K,0.21%,0.002094881
30-Jul-17,230.67,229.94,231.56,229.13,174.83K,0.46%,0.004616524
31-Jul-17,229.78,232.13,232.13,229.21,626.00K,-0.39%,-0.003858326
1-Aug-17,230.1,229.53,230.18,229.53,200.79K,0.14%,0.001392636
2-Aug-17,229.69,229.94,230.18,229.29,291.58K,-0.18%,-0.001781834
3-Aug-17,229.04,229.69,229.94,228.96,732.15K,-0.28%,-0.002829901
6-Aug-17,229.78,228.96,230.83,228.72,182.94K,0.32%,0.003230877
7-Aug-17,228.8,229.61,229.94,228.56,688.56K,-0.43%,-0.004264949
8-Aug-17,228.88,228.72,229.13,228.72,317.80K,0.03%,0.00034965
9-Aug-17,229.78,230.83,230.83,228.72,325.30K,0.39%,0.003932192
10-Aug-17,230.02,230.1,230.67,229.13,196.58K,0.10%,0.001044477
13-Aug-17,229.78,230.75,230.75,229.21,210.84K,-0.10%,-0.001043388
16-Aug-17,229.04,229.94,229.94,228.39,213.90K,-0.32%,-0.003220472
17-Aug-17,227.74,228.72,228.72,227.58,428.13K,-0.57%,-0.005675864
20-Aug-17,227.34,227.74,229.04,227.18,303.66K,-0.18%,-0.001756389
21-Aug-17,227.74,227.34,228.48,226.28,253.34K,0.18%,0.001759479
22-Aug-17,227.26,227.91,228.31,226.69,283.31K,-0.21%,-0.002107667
23-Aug-17,228.72,228.31,229.04,227.18,204.16K,0.64%,0.00642436
24-Aug-17,228.39,228.31,229.13,227.58,150.28K,-0.14%,-0.001442812
27-Aug-17,229.45,228.72,230.18,227.74,218.11K,0.46%,0.004641184
28-Aug-17,228.8,229.86,229.86,228.56,487.99K,-0.28%,-0.002832861
29-Aug-17,228.96,228.48,229.13,228.23,227.22K,0.07%,0.000699301
30-Aug-17,230.75,230.26,230.91,229.61,167.57K,0.78%,0.007817959
31-Aug-17,232.46,230.75,233.03,230.75,558.11K,0.74%,0.007410618
4-Sep-17,235.46,233.19,235.63,232.62,488.95K,1.29%,0.012905446
5-Sep-17,234.81,235.46,237.17,233.19,491.09K,-0.28%,-0.002760554
6-Sep-17,233.51,234.81,235.63,232.62,295.37K,-0.55%,-0.005536391
7-Sep-17,236.6,233.68,237.17,233.43,1.50M,1.32%,0.013232838
