Date,Price,Open,High,Low,Vol.,Change %,moving average,EMA,EMA(12),EMA(26),MACD,K,D,R,trend,score,return
30-May-18,426.3,428.4,428.8,424,155.97K,-0.40%,441.7666667,439.7084138,467.8864886,483.6142754,-15.72778683,11.98347107,17.01101928,-11.98347107,0,0.5,-0.003971963
31-May-18,414.8,427.9,427.9,412.7,249.25K,-2.70%,438.4866667,436.5948621,465.9756775,483.512491,-17.53681348,3.736654804,10.40533122,-3.736654804,0,0.5,-0.026976308
3-Jun-18,402.4,415.2,415.2,400.1,220.52K,-2.99%,434.28,432.3205043,463.2662178,482.3609296,-19.0947118,3.343023256,6.354383045,-3.343023256,1,0.5,-0.029893925
4-Jun-18,407.6,405,412.8,401,227.56K,1.29%,430.3866667,429.2304413,459.6829406,481.1908134,-21.50787282,10.90116279,5.993613617,-10.90116279,0,0.5,0.012922465
5-Jun-18,405.8,409,410,405,291.73K,-0.44%,426.56,426.3016361,456.172573,480.2044617,-24.03188872,9.047619048,7.763935031,-9.047619048,0,0.5,-0.004416094
6-Jun-18,405,407,408.5,403.5,252.54K,-0.20%,423.3866667,423.6389316,452.3260014,478.878904,-26.55290263,8.860759494,9.603180444,-8.860759494,0,0.5,-0.001971414
7-Jun-18,395.3,406.9,407.9,392.2,255.92K,-2.40%,420.12,420.0965652,449.4977512,477.031541,-27.5337898,5.656934307,7.855104283,-5.656934307,0,0.5,-0.023950617
10-Jun-18,390.9,395,398.5,388,141.66K,-1.11%,417.2066667,416.4469945,446.9855323,475.3525984,-28.36706608,5.132743363,6.550145721,-5.132743363,0,0.5,-0.011130787
11-Jun-18,377,394.1,395,376,435.58K,-3.56%,413.5666667,411.5161202,445.2373408,473.7835236,-28.54618282,1.5625,4.117392556,-1.5625,0,0.5,-0.035558966
12-Jun-18,374.6,381,381.4,373.3,389.43K,-0.64%,410.18,406.9016052,443.5701732,471.7230831,-28.15290996,1.949025487,2.88142295,-1.949025487,1,0.5,-0.006366048
18-Jun-18,378.8,374.6,382,374.6,756.91K,1.12%,406.7866667,403.3889045,441.6239015,470.1826978,-28.55879622,8.245877061,3.919134183,-8.245877061,1,0.5,0.011211959
19-Jun-18,379.3,382.6,384,378.8,468.34K,0.13%,403.4466667,400.3777915,439.7084138,469.4098605,-29.70144669,8.995502249,6.396801599,-8.995502249,1,0.5,0.001319958
20-Jun-18,383.2,381.8,385.9,379.9,373.89K,1.03%,400.1266667,398.2305675,436.5948621,468.921128,-32.32626585,14.88721805,10.70953245,-14.88721805,1,0.5,0.010282099
21-Jun-18,403.4,385,405,385,1.24M,5.27%,398.2266667,398.8767466,432.3205043,468.555987,-36.23548262,50.41876047,24.76716025,-50.41876047,1,1,0.052713987
24-Jun-18,408.6,405,415,403.5,522.54K,1.29%,396.9333333,400.0921533,429.2304413,467.8864886,-38.65604729,63.6036036,42.96986071,-63.6036036,0,0.5,0.012890431
25-Jun-18,403.6,408.9,411,402,526.73K,-1.22%,395.42,400.5306341,426.3016361,465.9756775,-39.67404138,55.49450549,56.50562319,-55.49450549,0,0,-0.012236907
26-Jun-18,397.8,404,404.9,395.2,503.58K,-1.44%,394.2866667,400.1893048,423.6389316,463.2662178,-39.62728621,58.4725537,59.19022093,-58.4725537,0,0.5,-0.014370664
27-Jun-18,394.6,400,401.9,393.7,342.97K,-0.80%,393.7666667,399.4906417,420.0965652,459.6829406,-39.58637543,51.07913669,55.01539863,-51.07913669,0,0.5,-0.008044243
28-Jun-18,388.9,398,398,384.6,398.54K,-1.44%,392.52,398.1668115,416.4469945,456.172573,-39.7255785,37.41007194,48.98725411,-37.41007194,0,0.5,-0.014445008
2-Jul-18,381,390.1,390.1,380,202.22K,-2.03%,390.8666667,396.0209601,411.5161202,452.3260014,-40.80988119,18.46522782,35.65147882,-18.46522782,0,0.5,-0.020313705
3-Jul-18,376.7,381,387,375,247.53K,-1.13%,388.98,393.6058401,406.9016052,449.4977512,-42.59614604,8.153477218,21.34292566,-8.153477218,0,0.5,-0.011286089
4-Jul-18,375.4,378,381.9,374.3,146.82K,-0.35%,387.6533333,391.3301101,403.3889045,446.9855323,-43.59662779,5.035971223,10.55155875,-5.035971223,1,0.5,-0.003451022
5-Jul-18,383.9,378,390,378,135.59K,2.26%,387.1866667,390.4013463,400.3777915,445.2373408,-44.85954931,25.41966427,12.86970424,-25.41966427,1,0.5,0.022642515
8-Jul-18,387.8,387,395.1,384.1,121.30K,1.02%,387.9066667,390.076178,398.2305675,443.5701732,-45.33960565,34.77218225,21.74260592,-34.77218225,1,0.5,0.010158896
9-Jul-18,387.9,389,395,386.3,117.57K,0.03%,388.7933333,389.8041558,398.8767466,441.6239015,-42.74715494,33.41523342,31.20235998,-33.41523342,0,0.5,0.000257865
10-Jul-18,379.5,390.6,390.9,379,228.24K,-2.17%,388.84,388.5161363,400.0921533,439.7084138,-39.61626058,12.77641278,26.98794282,-12.77641278,1,0.5,-0.021655066
11-Jul-18,380.7,380,385,379.9,109.87K,0.32%,388.9333333,387.5391193,400.5306341,436.5948621,-36.064228,15.72481572,20.63882064,-15.72481572,1,0.5,0.003162055
12-Jul-18,388.5,385,390,383.5,282.24K,2.05%,389.2866667,387.6592294,400.1893048,432.3205043,-32.1311995,34.88943489,21.13022113,-34.88943489,0,0.5,0.020488574
15-Jul-18,383.1,390,390,380.5,132.90K,-1.39%,387.9333333,387.0893257,399.4906417,429.2304413,-29.73979957,21.62162162,24.07862408,-21.62162162,1,0.5,-0.013899614
16-Jul-18,388,390,402,386.3,755.49K,1.28%,386.56,387.20316,398.1668115,426.3016361,-28.13482462,37.32970027,31.28025226,-37.32970027,1,1,0.012790394
17-Jul-18,397.7,392,401,387.9,483.01K,2.50%,386.1666667,388.515265,396.0209601,423.6389316,-27.61797154,76.47058824,45.14063671,-76.47058824,1,0.5,0.025
18-Jul-18,401.2,401.9,402.5,396.6,305.02K,0.88%,386.3933333,390.1008569,393.6058401,420.0965652,-26.4907251,95.39007092,69.73011981,-95.39007092,1,1,0.008800603
19-Jul-18,401.8,401.5,405,400.1,282.49K,0.15%,386.8733333,391.5632497,391.3301101,416.4469945,-25.11688446,89.57654723,87.14573546,-89.57654723,0,0.5,0.001495513
22-Jul-18,396.6,404,405.7,395,277.69K,-1.29%,387.3866667,392.1928435,390.4013463,411.5161202,-21.1147739,71.01910828,85.32857548,-71.01910828,0,0.5,-0.012941762
23-Jul-18,395.3,396.9,398.4,392,219.97K,-0.33%,388.34,392.5812381,390.076178,406.9016052,-16.82542717,66.87898089,75.8248788,-66.87898089,0,0.5,-0.003277862
24-Jul-18,393.9,395.4,397,393,153.59K,-0.35%,389.4866667,392.7460833,389.8041558,403.3889045,-13.58474877,62.42038217,66.77282378,-62.42038217,0,0.5,-0.003541614
25-Jul-18,390.4,396.9,397,390,153.26K,-0.89%,390.4866667,392.4528229,388.5161363,400.3777915,-11.86165517,44.76534296,58.02156867,-44.76534296,0,0.5,-0.008885504
26-Jul-18,386.4,391,392,385.4,180.97K,-1.02%,390.6533333,391.69622,387.5391193,398.2305675,-10.69144828,27.71535581,44.96702698,-27.71535581,1,0.5,-0.010245902
29-Jul-18,389.4,386.2,390.5,386.2,63.34K,0.78%,390.76,391.4091925,387.6592294,398.8767466,-11.21751724,38.95131086,37.14400321,-38.95131086,0,0.5,0.007763975
30-Jul-18,388.9,390.2,393.9,387.1,92.83K,-0.13%,390.8266667,391.0955435,387.0893257,400.0921533,-13.00282759,37.07865169,34.58177278,-37.07865169,1,0.5,-0.001284027
31-Jul-18,390.2,388.1,392.7,388,128.99K,0.33%,391.54,390.9836005,387.20316,400.5306341,-13.32747414,39.92248062,38.65081439,-39.92248062,1,0.5,0.003342762
