"Date","Price","Open","High","Low","Vol.","Change %"
"May 08, 2019","241.68","242.52","242.52","241.12","114.60K","-0.31%"
"May 07, 2019","242.43","244.86","244.86","242.15","195.30K","-0.92%"
"May 06, 2019","244.67","244.95","246.07","243.83","136.89K","0.11%"
"May 05, 2019","244.39","244.39","245.23","243.46","153.91K","0.58%"
"May 02, 2019","242.99","242.99","245.33","242.34","273.30K","0.04%"
"Apr 30, 2019","242.90","242.06","244.86","241.21","264.53K","0.89%"
"Apr 29, 2019","240.75","242.06","242.62","239.81","216.89K","-0.38%"
"Apr 28, 2019","241.68","242.62","242.99","241.12","107.50K","-0.31%"
"Apr 25, 2019","242.43","241.59","243.93","241.21","107.77K","0.82%"
"Apr 24, 2019","240.47","241.12","242.71","239.25","151.74K","0.04%"
"Apr 23, 2019","240.37","243.18","243.18","240.00","116.53K","-1.16%"
"Apr 21, 2019","243.18","242.15","244.39","242.06","137.78K","0.46%"
"Apr 18, 2019","242.06","241.21","243.18","240.75","179.35K","0.31%"
"Apr 17, 2019","241.31","240.00","242.80","239.44","203.04K","0.63%"
"Apr 16, 2019","239.81","243.27","244.39","238.69","296.68K","-1.42%"
"Apr 15, 2019","243.27","246.26","246.26","242.99","312.12K","-0.80%"
"Apr 11, 2019","245.23","243.93","246.17","243.08","161.10K","0.81%"
"Apr 10, 2019","243.27","244.95","246.82","242.99","224.18K","-0.95%"
"Apr 09, 2019","245.61","245.42","247.57","243.18","207.86K","0.77%"
"Apr 08, 2019","243.74","248.60","248.60","242.99","437.16K","-1.95%"
"Apr 07, 2019","248.60","249.07","249.91","248.13","129.83K","-0.56%"
"Apr 04, 2019","250.00","249.53","250.47","249.07","124.86K","0.19%"
"Apr 03, 2019","249.53","250.47","250.47","249.07","246.75K","-0.38%"
"Apr 02, 2019","250.47","249.81","251.50","249.63","186.29K","0.34%"
"Apr 01, 2019","249.63","249.44","251.21","249.35","194.95K","0.08%"
"Mar 31, 2019","249.44","249.81","250.75","249.16","178.26K","-0.45%"
"Mar 28, 2019","250.56","250.56","251.59","250.19","159.38K","0.15%"
"Mar 27, 2019","250.19","251.59","254.21","249.53","574.76K","-0.67%"
"Mar 25, 2019","251.87","251.78","253.64","250.75","168.82K","0.04%"
"Mar 24, 2019","251.78","252.34","252.34","251.12","231.99K","-0.18%"
"Mar 21, 2019","252.24","254.58","254.58","252.06","227.08K","-0.85%"
"Mar 20, 2019","254.39","254.30","255.05","251.87","609.15K","0.04%"
"Mar 19, 2019","254.30","249.91","254.95","249.07","565.35K","1.80%"
"Mar 18, 2019","249.81","248.97","250.84","248.78","788.36K","-0.11%"
"Mar 14, 2019","250.09","248.13","251.03","248.13","736.41K","0.45%"
"Mar 13, 2019","248.97","249.81","250.47","248.22","354.66K","-0.78%"
"Mar 12, 2019","250.93","250.47","251.78","249.35","460.87K","0.18%"
"Mar 11, 2019","250.47","254.21","254.21","249.53","224.33K","-0.59%"
"Mar 10, 2019","251.96","250.56","252.34","250.28","209.65K","0.71%"
"Mar 07, 2019","250.19","249.25","252.34","249.25","249.30K","0.38%"
"Mar 06, 2019","249.25","249.63","251.31","248.78","578.90K","-0.52%"
"Mar 05, 2019","250.56","252.43","252.52","248.88","734.51K","-0.74%"
"Mar 04, 2019","252.43","254.77","254.77","251.40","1.26M","-0.92%"
"Mar 03, 2019","254.77","255.89","255.89","252.43","360.07K","-0.44%"
"Feb 27, 2019","255.89","258.13","258.13","254.49","613.81K","-0.83%"
"Feb 26, 2019","258.04","256.17","259.16","256.17","1.55M","0.73%"
"Feb 25, 2019","256.17","253.27","256.36","253.27","1.76M","1.18%"
"Feb 24, 2019","253.18","252.34","253.83","249.63","439.09K","0.37%"
"Feb 20, 2019","252.24","251.40","252.99","250.28","1.73M","0.56%"
"Feb 19, 2019","250.84","248.60","252.24","247.66","864.02K","0.90%"
"Feb 18, 2019","248.60","246.73","249.07","246.73","669.78K","0.76%"
"Feb 17, 2019","246.73","247.66","247.66","246.45","321.41K","0.00%"
"Feb 14, 2019","246.73","247.20","248.50","246.17","470.03K","-0.26%"
"Feb 13, 2019","247.38","249.44","249.44","246.82","237.57K","-0.38%"
