Date,Price,Open,High,Low,Vol.,Change %
2-Jul-19,360.3,365,365,359.1,128.52K,-1.21%
3-Jul-19,359.7,364.9,364.9,359.1,103.44K,-0.17%
4-Jul-19,359.8,364,364,359,59.78K,0.03%
7-Jul-19,351.7,358.8,358.8,340.1,71.91K,-2.25%
8-Jul-19,345.2,351.7,352,345,105.64K,-1.85%
9-Jul-19,340.8,346,346,340,238.85K,-1.27%
10-Jul-19,334.1,341.5,341.5,329.1,198.23K,-1.97%
11-Jul-19,331.6,333,338,330.4,265.33K,-0.75%
14-Jul-19,344.7,333,346.5,331.3,140.30K,3.95%
15-Jul-19,324.4,344.7,344.8,322.8,374.51K,-5.89%
16-Jul-19,328,329,330.9,325.1,208.28K,1.11%
17-Jul-19,326,330,332.9,325.5,227.94K,-0.61%
18-Jul-19,330.3,330,334.9,328.4,128.30K,1.32%
21-Jul-19,325.3,325,329.5,325,144.27K,-1.51%
22-Jul-19,322.5,325.3,325.3,322,197.94K,-0.86%
23-Jul-19,323.2,322,329.2,318,138.65K,0.22%
24-Jul-19,320.4,323.2,325,316,212.14K,-0.87%
25-Jul-19,324.7,323,325,320.8,156.15K,1.34%
28-Jul-19,324.8,324.6,326.8,320.5,115.34K,0.03%
29-Jul-19,327.3,325.2,331,325.2,129.84K,0.77%
30-Jul-19,325.7,326.8,329.9,324.1,155.20K,-0.49%
31-Jul-19,332.4,325.1,333.9,325.1,160.84K,2.06%
1-Aug-19,337.1,333,337.6,332.4,127.44K,1.41%
4-Aug-19,337.1,337.1,337.6,332.4,127.44K,0.00%
5-Aug-19,321.4,334,334,320.4,189.67K,-4.66%
6-Aug-19,322.2,321.8,325,321.6,94.31K,0.25%
7-Aug-19,318.8,322.2,322.2,316.9,166.55K,-1.06%
8-Aug-19,317.7,316.9,318.8,316.9,321.69K,-0.35%
18-Aug-19,317,315.3,318,315.3,53.89K,-0.22%
19-Aug-19,323.9,318,327,317.4,208.71K,2.18%
20-Aug-19,326.6,324.9,327.2,324.9,173.96K,0.83%
21-Aug-19,323.3,327,327,322,114.15K,-1.01%
22-Aug-19,319.7,324,325,319,101.78K,-1.11%
25-Aug-19,316.8,319.7,319.7,316.4,103.21K,-0.91%
26-Aug-19,313.5,316.7,317,310.2,219.10K,-1.04%
27-Aug-19,320.1,314.5,322,313.4,128.68K,2.11%
28-Aug-19,316.8,320.1,320.1,316.1,77.02K,-1.03%
29-Aug-19,312,316.8,316.8,311.4,245.62K,-1.52%
1-Sep-19,310,312.1,314.9,309,97.50K,-0.64%
2-Sep-19,304.1,312.1,312.1,303,185.47K,-1.90%
3-Sep-19,294.7,300,304.1,290.4,313.48K,-3.09%
4-Sep-19,289.4,294.7,297.4,287.2,241.34K,-1.80%
5-Sep-19,295.5,289.4,298,284.7,102.94K,2.11%
8-Sep-19,299.2,295.5,300,289.1,86.50K,1.25%
9-Sep-19,308,300,315,297.1,326.35K,2.94%
11-Sep-19,305.1,309.9,309.9,302,170.12K,-0.94%
12-Sep-19,304.1,305.1,306,296.1,119.76K,-0.33%
15-Sep-19,306.1,305,307.5,301,69.17K,0.66%
16-Sep-19,308.2,306.6,309.4,306.6,105.04K,0.69%
17-Sep-19,312.6,309.9,314.8,309.9,193.24K,1.43%
18-Sep-19,308.4,313.4,314.4,307,114.51K,-1.34%
19-Sep-19,335.3,320,335.3,317,150.62K,8.72%
22-Sep-19,360.5,364,364.6,349.2,1.07M,7.52%
23-Sep-19,362.8,361,364.9,356.6,557.37K,0.64%
24-Sep-19,358.4,363.9,363.9,353.2,478.75K,-1.21%
25-Sep-19,355.1,358,358,351.8,191.94K,-0.92%
26-Sep-19,359.4,360,364,357.5,375.31K,1.21%
29-Sep-19,356.9,360,360,355.2,87.34K,-0.70%
30-Sep-19,352.4,357.9,357.9,350.7,267.55K,-1.26%
1-Oct-19,348.9,352.4,352.4,348,74.48K,-0.99%
2-Oct-19,344.7,349,349,344,213.41K,-1.20%
3-Oct-19,345.1,343.5,347,342.4,58.31K,0.12%
6-Oct-19,345.1,347,347,345,27.99K,0.00%
7-Oct-19,340.9,345.1,345.1,340.4,100.95K,-1.22%
9-Oct-19,336,341,342,332.4,169.89K,-1.44%
10-Oct-19,333,333.5,333.6,331.7,137.70K,-0.89%
13-Oct-19,325.4,331.2,332.8,324.4,88.38K,-2.28%
14-Oct-19,316.5,325,325,315.6,108.70K,-2.74%
15-Oct-19,332.1,324.5,343,324.1,122.29K,4.93%
16-Oct-19,328.1,330,333,326.6,294.87K,-1.20%
17-Oct-19,317.8,328.1,328.1,310,185.98K,-3.14%
20-Oct-19,318.7,317,325,310,142.73K,0.28%
