Date,Price,Open,High,Low,Vol.,Change %
26-Jun-12,58.8,57.66,59.16,57.23,7.46M,1.92%
27-Jun-12,59.29,59.5,60.6,58.82,7.09M,0.83%
28-Jun-12,59.6,58.87,60.5,55.34,25.32M,0.52%
29-Jun-12,58.5,60.34,60.6,57.87,11.13M,-1.85%
2-Jul-12,56.26,58.89,59.31,55.96,13.00M,-3.83%
3-Jul-12,54.88,56.39,56.73,54.74,8.46M,-2.45%
5-Jul-12,55.81,54.88,56.16,54.86,6.94M,1.69%
6-Jul-12,55.82,55.29,55.94,55.15,4.46M,0.02%
9-Jul-12,56.09,56.29,56.66,55.53,4.24M,0.48%
10-Jul-12,55.7,56.27,56.44,55.24,5.66M,-0.70%
11-Jul-12,56.04,55.77,56.29,55.7,5.32M,0.61%
12-Jul-12,54.57,55.88,55.9,54.44,6.08M,-2.62%
13-Jul-12,55.2,54.61,55.55,54.57,5.05M,1.15%
16-Jul-12,55.16,55.18,55.28,54.72,3.17M,-0.07%
17-Jul-12,55.9,55.21,56.2,54.89,6.18M,1.34%
18-Jul-12,56.35,55.54,56.48,54.87,5.09M,0.81%
19-Jul-12,54.99,57.39,57.6,53.63,16.70M,-2.41%
20-Jul-12,55.41,54.87,55.83,54.86,8.37M,0.76%
23-Jul-12,54.51,54.37,55.06,53.97,6.04M,-1.62%
24-Jul-12,54.9,54.64,55.1,54.31,7.56M,0.72%
25-Jul-12,52.48,51.5,52.96,51.01,19.60M,-4.41%
26-Jul-12,52.01,53.12,53.35,50.89,10.51M,-0.90%
27-Jul-12,53.34,51.81,53.51,51.69,8.57M,2.56%
30-Jul-12,53.26,53.32,53.71,52.89,4.41M,-0.15%
31-Jul-12,51.09,52.74,53.19,51.08,9.88M,-4.07%
1-Aug-12,51.21,51.21,51.92,50.75,7.62M,0.23%
2-Aug-12,51.1,50.75,51.76,50.32,7.32M,-0.21%
3-Aug-12,51.61,51.38,52.25,50.62,6.41M,1.00%
6-Aug-12,51,51.86,52.08,50.97,4.98M,-1.18%
7-Aug-12,52.54,51.38,52.78,51.21,6.59M,3.02%
8-Aug-12,52.73,52.3,52.91,51.91,5.72M,0.36%
9-Aug-12,52.02,52.57,52.79,51.69,4.89M,-1.35%
10-Aug-12,51.9,51.84,52.11,51.7,5.38M,-0.23%
13-Aug-12,51.9,51.64,52,51.41,4.26M,0.00%
14-Aug-12,51.97,52.19,52.27,51.81,3.46M,0.13%
15-Aug-12,52.82,51.9,52.91,51.81,4.65M,1.64%
16-Aug-12,53.39,52.84,53.53,52.78,5.60M,1.08%
17-Aug-12,53.13,53.64,53.64,52.88,4.65M,-0.49%
20-Aug-12,53.2,52.97,53.62,52.75,4.93M,0.13%
21-Aug-12,53.42,53.44,53.9,53.25,5.32M,0.41%
22-Aug-12,53.97,53.43,54.1,53.35,5.37M,1.03%
23-Aug-12,53.92,53.99,54.35,53.76,4.45M,-0.09%
24-Aug-12,54.16,53.87,54.33,53.81,4.14M,0.45%
27-Aug-12,54.61,54.12,54.99,53.88,4.77M,0.83%
28-Aug-12,54.33,54.4,54.8,54.21,4.61M,-0.51%
29-Aug-12,54.64,54.53,54.97,54.37,4.61M,0.57%
30-Aug-12,54.69,54.46,54.92,54.27,5.19M,0.09%
31-Aug-12,54.3,54.84,55.03,54.21,5.07M,-0.71%
4-Sep-12,54.56,54.4,54.68,54,4.23M,0.48%
5-Sep-12,54.28,54.74,54.93,54.18,4.17M,-0.51%
6-Sep-12,54.89,54.55,54.99,54.5,3.74M,1.12%
7-Sep-12,54.88,54.97,55.26,54.7,3.73M,-0.02%
10-Sep-12,53.74,55.01,55.01,53.54,5.45M,-2.08%
