Date,Price,Open,High,Low,Vol.,Change %,trend
11-Oct-12,75.01,76.6,76.61,74.95,8.33M,-0.54%,1
12-Oct-12,75.81,75.42,76.04,75.3,8.03M,1.07%,1
15-Oct-12,77.15,75.87,77.35,75.56,9.67M,1.77%,0
16-Oct-12,76.91,77.6,77.6,76.69,6.31M,-0.31%,1
17-Oct-12,77.03,77.33,77.5,76.48,7.49M,0.16%,0
18-Oct-12,76.56,77.02,77.23,76.17,7.33M,-0.61%,0
19-Oct-12,75.62,76.58,76.71,75.43,6.94M,-1.23%,1
22-Oct-12,75.65,75.68,75.78,75.09,5.43M,0.04%,0
23-Oct-12,74.76,75.05,75.49,74.51,5.83M,-1.18%,1
24-Oct-12,74.82,74.93,75,74.52,4.58M,0.08%,1
25-Oct-12,75.32,75.3,75.5,74.89,4.43M,0.67%,0
26-Oct-12,75.11,75.2,75.42,74.68,4.45M,-0.28%,0
31-Oct-12,75.02,75.25,75.68,74.13,6.55M,-0.12%,0
1-Nov-12,73.45,75.13,75.16,73.15,12.94M,-2.09%,0
2-Nov-12,72.77,73.46,73.57,72.71,8.56M,-0.93%,1
5-Nov-12,73.14,72.66,73.2,72.65,4.77M,0.51%,1
6-Nov-12,73.76,73.17,74.28,73.13,5.33M,0.85%,0
7-Nov-12,73.11,73.42,73.9,72.85,6.81M,-0.88%,0
8-Nov-12,72.48,73.01,73.98,72.48,7.14M,-0.86%,0
9-Nov-12,72.31,72.13,72.59,71.92,6.89M,-0.23%,1
12-Nov-12,72.48,72.27,72.6,71.9,4.38M,0.24%,0
13-Nov-12,71.81,71.97,72.3,71.18,8.98M,-0.92%,0
14-Nov-12,71.31,71.86,72,71.08,9.11M,-0.70%,0
15-Nov-12,68.72,69.66,69.69,67.85,23.05M,-3.63%,0
16-Nov-12,68.03,68.59,68.69,67.88,12.26M,-1.00%,1
19-Nov-12,69.02,68.15,69.13,67.66,12.84M,1.46%,0
20-Nov-12,69,69.24,69.24,68.45,9.39M,-0.03%,0
21-Nov-12,68.89,68.86,69.06,68.68,7.04M,-0.16%,1
