Date,Price,Open,High,Low,Vol.,Change %,CP,EMA12,EMA26,MACD,K,D,R,trend
1-Feb-19,93.86,95.92,96,93.11,12.59M,-2.06%,102.772,97.61007628,,,25.95155709,33.59427606,74.04844291,1
4-Feb-19,94.77,93.86,94.77,93.35,7.27M,0.97%,102.7593333,97.17314147,,,100,59.84099522,0,1
5-Feb-19,95.6,95.25,95.94,95.02,6.10M,0.88%,102.81,96.9311197,,,63.04347826,62.99834512,36.95652174,1
6-Feb-19,95.64,95.43,96.01,95.22,4.26M,0.04%,102.856,96.7324859,,,53.16455696,72.06934507,46.83544304,1
7-Feb-19,96.73,95.11,96.82,95,7.01M,1.14%,102.888,96.73210346,,,95.05494505,70.42099343,4.945054945,0
8-Feb-19,95.58,96.34,96.69,95.14,6.17M,-1.19%,102.8366667,96.55485677,99.39115385,-2.836297076,28.38709677,58.86886626,71.61290323,1
11-Feb-19,96.2,95.65,96.35,95.64,5.54M,0.65%,102.8006667,96.50026342,99.15477208,-2.654508659,78.87323944,67.43842709,21.12676056,1
12-Feb-19,96.97,96.82,97.17,96.5,5.88M,0.80%,102.75,96.57253059,98.99293711,-2.420406524,70.14925373,59.13652998,29.85074627,1
13-Feb-19,97.94,97.3,98,97.09,5.46M,1.00%,102.78,96.7829105,98.91494177,-2.132031273,93.40659341,80.80969552,6.593406593,1
14-Feb-19,98.52,97.68,99.2,97.02,7.20M,0.59%,102.7673333,97.05015504,98.88568682,-1.835531788,68.80733945,77.45439553,31.19266055,1
15-Feb-19,99.99,98.98,100,98.86,9.48M,1.49%,102.876,97.50243888,98.9674878,-1.465048923,99.12280702,87.11224662,0.877192982,1
19-Feb-19,102.2,102.38,104.18,102.07,20.70M,2.21%,103.2266667,98.22514059,99.20693315,-0.98179256,6.161137441,58.03042797,93.83886256,0
20-Feb-19,99.88,101.81,102.34,98.65,17.63M,-2.27%,103.4146667,98.47973434,99.25678995,-0.777055608,33.33333333,46.20575926,66.66666667,0
21-Feb-19,99.39,99.66,99.92,98.91,6.41M,-0.49%,103.5933333,98.61977521,99.26665736,-0.646882149,47.52475248,29.00640775,52.47524752,1
22-Feb-19,99.55,99.82,100.16,99.14,8.09M,0.16%,103.91,98.76288672,99.28764571,-0.524758987,40.19607843,40.35138808,59.80392157,0
25-Feb-19,99.12,100.12,100.13,99.05,9.23M,-0.43%,104.1293333,98.81782722,99.27522751,-0.457400282,6.481481481,31.4007708,93.51851852,0
26-Feb-19,98.69,99.02,99.06,97.87,8.49M,-0.43%,104.4513333,98.7981615,99.23187732,-0.433715823,68.90756303,38.52837431,31.09243697,0
27-Feb-19,98.11,98.12,98.39,97.59,7.90M,-0.59%,104.674,98.6922905,99.1487753,-0.456484799,65,46.79634817,35,1
28-Feb-19,98.99,98.11,99.47,97.77,11.38M,0.90%,104.9,98.73809196,99.13701416,-0.398922204,71.76470588,68.55742297,28.23529412,0
1-Mar-19,97.93,99.47,99.56,97.12,10.35M,-1.07%,105.0526667,98.61377012,99.04760571,-0.433835587,33.19672131,56.65380906,66.80327869,0
4-Mar-19,97.85,98.12,98.59,97.37,7.68M,-0.08%,105.1273333,98.49626702,98.95889417,-0.462627149,39.3442623,48.1018965,60.6557377,1
5-Mar-19,98.34,98.13,99.19,98.09,6.12M,0.50%,105.3113333,98.47222594,98.91305016,-0.440824216,22.72727273,31.75608544,77.27272727,0
6-Mar-19,98.26,98.27,99,97.86,4.70M,-0.08%,105.4486667,98.4395758,98.86467607,-0.425100276,35.0877193,32.38641811,64.9122807,0
7-Mar-19,97.45,97.71,98.2,97.23,6.13M,-0.82%,105.4806667,98.28733337,98.75988525,-0.472551886,22.68041237,26.83180147,77.31958763,1
8-Mar-19,97.59,97.55,98.42,97,5.66M,0.14%,105.4573333,98.18005131,98.67322709,-0.493175776,41.54929577,33.10580915,58.45070423,1
11-Mar-19,98.48,98.04,98.58,97.82,5.35M,0.91%,105.4546667,98.22619726,98.65891397,-0.432716706,86.84210526,50.35727114,13.15789474,0
12-Mar-19,98.37,98.53,98.74,98.05,5.07M,-0.11%,105.3466667,98.24832076,98.63751293,-0.389192173,46.37681159,58.25607088,53.62318841,1
13-Mar-19,99.03,98.7,99.35,98.39,5.48M,0.67%,105.1353333,98.36857911,98.66658605,-0.298006945,66.66666667,66.62852784,33.33333333,0
14-Mar-19,98.22,98.41,98.43,97.59,4.93M,-0.82%,105.0246667,98.34572078,98.6335056,-0.287784821,75,62.68115942,25,1
15-Mar-19,98.42,98.28,98.51,97.6,14.60M,0.20%,104.96,98.35714835,98.61769037,-0.260542019,90.10989011,77.25885226,9.89010989,1
18-Mar-19,99.66,98.3,99.77,98.26,5.77M,1.26%,104.9673333,98.55758707,98.69489849,-0.137311424,92.71523179,85.9417073,7.284768212,1
19-Mar-19,99.85,99.99,100.49,99.57,5.41M,0.19%,105.016,98.75641983,98.78046157,-0.02404174,30.43478261,71.08663484,69.56521739,0
20-Mar-19,98.64,99.2,99.55,98.54,6.32M,-1.21%,105.0126667,98.73850908,98.77005701,-0.031547922,9.900990099,44.35033483,90.0990099,1
21-Mar-19,99.06,98.25,99.13,98.1,6.55M,0.43%,105.076,98.78796923,98.79153427,-0.00356504,93.2038835,44.51321873,6.796116505,0
22-Mar-19,98.28,98.58,99.53,97.94,6.71M,-0.79%,105.0286667,98.70982011,98.75364284,-0.043822725,21.3836478,41.4961738,78.6163522,0
25-Mar-19,98.17,97.8,98.62,97.63,5.41M,-0.11%,105.0446667,98.62677087,98.71041004,-0.08363917,54.54545455,56.37766195,45.45454545,1
26-Mar-19,98.32,98.36,98.85,98.03,4.95M,0.15%,105.076,98.57957535,98.68149077,-0.101915426,35.36585366,37.09831867,64.63414634,0
27-Mar-19,97.21,98.14,98.86,96.96,8.47M,-1.13%,105.0006667,98.36887145,98.57249146,-0.203620009,13.15789474,34.35640098,86.84210526,0
28-Mar-19,97.13,97.59,97.87,96.53,8.05M,-0.08%,104.9253333,98.17827584,98.46564024,-0.287364398,44.7761194,31.09995593,55.2238806,1
29-Mar-19,97.53,97.59,97.67,97.04,7.44M,0.41%,104.9306667,98.0785411,98.39633355,-0.317792458,77.77777778,45.23726397,22.22222222,1
1-Apr-19,97.82,97.97,98.36,97.56,8.51M,0.30%,104.946,98.03876554,98.35364218,-0.314876637,32.5,51.68463239,67.5,0
2-Apr-19,96.94,97.76,98.31,96.9,6.27M,-0.90%,104.8433333,97.86972469,98.24892794,-0.379203254,2.836879433,37.70488574,97.16312057,1
3-Apr-19,97.19,97.12,97.4,96.79,5.69M,0.26%,104.7646667,97.76515166,98.17048884,-0.405337176,65.57377049,33.63688331,34.42622951,1
4-Apr-19,98.11,97.25,98.28,97.24,4.03M,0.95%,104.7033333,97.81820525,98.16600818,-0.347802931,83.65384615,50.68816536,16.34615385,1
5-Apr-19,98.83,98.25,99.2,98.16,4.66M,0.73%,104.744,97.97386598,98.21519276,-0.24132678,64.42307692,71.21689786,35.57692308,1
8-Apr-19,99.23,98.45,99.25,98.26,5.42M,0.40%,104.798,98.16711737,98.29036367,-0.123246299,97.97979798,82.01890702,2.02020202,0
9-Apr-19,98.69,98.8,99.23,98.15,4.37M,-0.54%,104.7333333,98.24756085,98.31996636,-0.072405508,50,70.8009583,50,1
10-Apr-19,99.6,98.51,99.72,98.5,4.09M,0.92%,104.7166667,98.45562841,98.41478367,0.040844746,90.16393443,79.38124414,9.836065574,1
11-Apr-19,100.8,99.7,100.83,99.47,5.61M,1.20%,104.8606667,98.81630096,98.59146636,0.224834607,97.79411765,79.31935069,2.205882353,1
12-Apr-19,101.56,101,102.02,101,5.16M,0.75%,105.0273333,99.23840851,98.81135774,0.42705077,54.90196078,80.95333762,45.09803922,1
15-Apr-19,102.43,101.3,102.91,101.26,5.11M,0.86%,105.304,99.72942258,99.07940531,0.650017271,70.90909091,74.53505645,29.09090909,1
16-Apr-19,102.93,102.89,103.39,102.54,4.83M,0.49%,105.6213333,100.2218191,99.36463455,0.85718456,45.88235294,57.23113488,54.11764706,1
17-Apr-19,103.16,103,103.4,102.41,3.73M,0.22%,105.944,100.6738469,99.64577273,1.028074208,75.75757576,64.18300654,24.24242424,1
18-Apr-19,103.18,103.11,103.8,102.89,3.73M,0.02%,106.342,101.0594089,99.90756734,1.151841605,31.86813187,51.16935352,68.13186813,0
22-Apr-19,102.37,102.78,103.54,102.17,5.08M,-0.79%,106.6913333,101.2610383,100.0899698,1.171068578,14.59854015,40.74141592,85.40145985,1
23-Apr-19,103.07,102.53,103.29,101.94,5.05M,0.68%,107.0606667,101.5393401,100.3107127,1.228627391,83.7037037,43.39012524,16.2962963,1
24-Apr-19,103.53,103.14,103.85,103.09,4.70M,0.45%,107.4413333,101.8455955,100.5491785,1.296417033,57.89473684,52.06566023,42.10526316,0
25-Apr-19,103.52,103.24,104.14,102.83,3.96M,-0.01%,107.88,102.1031962,100.7692393,1.333956871,52.67175573,64.75673209,47.32824427,0
26-Apr-19,101.53,100.45,102.34,99.66,8.11M,-1.92%,108.1693333,102.0150122,100.825592,1.189420199,69.7761194,60.11420399,30.2238806,1
29-Apr-19,101.56,101.88,102,100.78,6.38M,0.03%,108.3993333,101.9450103,100.8799926,1.065017732,63.93442623,62.12743379,36.06557377,1
30-Apr-19,102.84,101.77,102.92,101.45,6.13M,1.26%,108.6666667,102.082701,101.0251783,1.05752272,94.55782313,76.08945625,5.442176871,0
1-May-19,101.36,102.77,102.81,101.28,5.34M,-1.44%,108.8086667,101.9715162,101.0499799,0.921536341,5.22875817,54.57366918,94.77124183,0
2-May-19,101.15,101.43,102.06,100.24,5.01M,-0.21%,108.9726667,101.8451291,101.0573888,0.78774033,50,49.92886043,50,1
3-May-19,102.08,102.32,102.75,101.8,5.32M,0.92%,109.138,101.8812631,101.1331378,0.748125333,29.47368421,28.23414746,70.52631579,1
6-May-19,102.46,100.75,102.55,100.54,4.61M,0.37%,109.2486667,101.9702996,101.2314239,0.738875687,95.52238806,58.33202409,4.47761194,0
7-May-19,101.3,101.8,102.17,100.76,4.58M,-1.13%,109.2313333,101.8671765,101.2365036,0.630672965,38.29787234,54.43131487,61.70212766,0
8-May-19,100.3,100.25,101.03,99.86,5.88M,-0.99%,109.0893333,101.6260725,101.1671329,0.458939517,37.60683761,57.142366,62.39316239,0
9-May-19,99.54,99.27,99.94,98.85,6.24M,-0.76%,108.8633333,101.3051382,101.0466046,0.258533658,63.30275229,46.40248741,36.69724771,1
10-May-19,101.91,99.76,102.11,99.7,8.74M,2.38%,108.78,101.3981939,101.1105598,0.287634098,91.70124481,64.20361157,8.298755187,0
13-May-19,99.89,100.45,101.15,99.01,7.36M,-1.98%,108.5606667,101.1661641,101.020148,0.146016105,41.12149533,65.37516414,58.87850467,1
14-May-19,100.29,100.14,100.86,99.89,6.35M,0.40%,108.422,101.0313696,100.9660629,0.065306667,41.2371134,58.01995118,58.7628866,0
15-May-19,99.88,100.2,100.36,99.13,6.74M,-0.41%,108.2093333,100.8542358,100.8856138,-0.031378011,60.97560976,47.77807283,39.02439024,1
